id,provider_name,last_collection_total,baseurl,oai_set
openaire____::issn22842667,Historias Fingidas,109,http://historiasfingidas.dlls.univr.it/index.php/hf/oai,driver
opendoar____::4319,ZivaHub - Open Data UCT,519,https://api.figshare.com/v2/oai,portal_283
openaire____::issn03949389,Il castello di Elsinore,183,http://ilcastellodielsinore.it/index.php/Elsinore/oai,""
opendoar____::2601,PubliCatt,1277,https://publicatt.unicatt.it/oai/openaire,""
opendoar____::4732,Refubium - Repositorium der Freien Universität Berlin,25935,https://refubium.fu-berlin.de/oai/request,""
opendoar____::4798,Ruralis Brage,157,https://ruralis.brage.unit.no/ruralis-oai/openaire,""
opendoar____::3192,Afyon Kocatepe Üniversitesi Açık Erişim Sistemi,6629,http://acikerisim.aku.edu.tr/oai/request,""
opendoar____::4731,IRIS - Università degli Studi di Catania,1267,https://www.iris.unict.it/oai/openaire,""
openaire____::issn20480792,The Comics Grid : Journal of Comics Scholarship,107,http://www.comicsgrid.com/index.php/up/oai,up
opendoar____::2,Alexandria Research Platform,12650,https://www.alexandria.unisg.ch/cgi/oai2,driver
opendoar____::1094,Epsilon Open Archive,9200,http://pub.epsilon.slu.se/cgi/oai2,driver
opendoar____::3302,DSpace Sinop University Repository,1286,http://acikerisim.sinop.edu.tr:8080/oai/request,""
opendoar____::2984,EPub Bayreuth,2812,http://epub.uni-bayreuth.de/cgi/oai2,openaire
opendoar____::1331,Scientific Electronic Library Online - Paraguay,2336,https://oaipmh.scielo.org/py/,openaire
opendoar____::9528,Repositorio Institucional Históricas - UNAM,391,http://ru.historicas.unam.mx/oai/request,""
opendoar____::1789,UiS Brage,6521,https://uis.brage.unit.no/uis-oai/openaire,""
openaire____::teknikpln,E-Journal Sekolah Tinggi Teknik PLN,587,https://stt-pln.e-journal.id/index/oai,""
opendoar____::9514,"RhinoSec - Repository of the Faculty of Security Studies, University of Belgrade",437,http://rhinosec.fb.bg.ac.rs/oai/openaire,""
openaire____::issn20419015,Papers from the Institute of Archaeology,499,http://www.pia-journal.co.uk/jms/oai/,up
